id,Question,Model Answer,Average_Mark,Answer
13,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3.625,"It is all illegal behavior or activity, using electronic devices such as telephone or computer, the criminal wants to get material or moral benefits with the victim load losses."
14,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",4.5,"An illegal behavior by a person using electronic tools intended to obtain material or moral benefit by illegal infringement resulting either theft of material things, moral damage, extensions or spy."
15,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",5,"Each illegal behavior is used by electronic devices (computer, mobile phone and the Internet) through which the offenders obtain material or moral benefits and to load the victim losses and often the criminal steals or destroy information."
16,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3.5,Is illegal behavior depends on the use of electronic devices in which the benefit of the existing or crime shall be met with a material or moral loss of the victim.
17,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3.5,Each illegal behavior is carried out by electronic devices used by the criminal to take material and moral benefits and does the user victim.
18,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3,Is a crime using an illegal electronic tools to get physical or moral affairs of someone and with material or moral losses.
19,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3.5,"Each illegal behavior is used by electronic and internet appliances, which gets penetrated on material or moral benefits, while the victim with losses."
20,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3,It is illegal behavior using electronic devices and modern devices that benefit from them and cause damage to other and most parties relating to penetration and piracy that lead to sabotage data.
21,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3.625,Each illegal behavior using electronic devices is whether a computer or a computer is via the internet and has a material benefits for the penetration with the mandate of the victim.
22,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",2.5,It is illegal behavior in which electronic devices and obtaining material or non-physical benefits are used.
23,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",0.75,Every legal act is done by electronic devices.
24,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",2.25,It is all illegal behavior that is used modern technologies and cost victim losses.
25,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",4.75,Is an illegal act that electronic devices are used in which the criminal benefits from material or moral profits against a loss of victim is often aimed at obtaining or destroying data.
26,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3.25,"It is illegal behavior of electronic devices, through which materials are produced and moral on the criminal and loss of victim."
27,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3.25,"Is an illegal process committed by an individual or community using tools and ideas in information science, theft or breakthrough systems."
28,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",4.25,"Is an illegal activity through electronic devices is theft or sabotage of information, resulting in a loss of victim, whether physical or moral"
29,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",2.5,Is illegal behavior to penetrate computer users to seize and use their personal information for other purposes.
30,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3.5,"Crimes are located by the Internet or where with people or organizations for the aim of stealing data, sabotage system, facing people or ..."
31,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",4.5,"Is illegal behavior in penetrating systems using electronic means: Internet, mobile, computer (aimed at the middle and moral exploitation and the victim holds an interview losses, the criminal is looking for or stealing confidential information."
32,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",4.75,Each illegal behavior is using electronic means (devices) where the criminal gets the benefits of physical and moral and may damage the victim to the aim of theft or perception of information.
33,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",2.75,Is an illegal exercise done by smart devices and the criminal is harassed and embarrassing the user to achieve personal goals
34,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",1.25,Every behavior is punishable by law occurs by the internet.
35,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3.875,Illegal methods and acts targeting computers and electronic programs by mobile phones and the Internet aimed at taking or changing or destroying information and spying on individuals and mutilating their reputation for physical profit.
36,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",4.75,"Each illegal behavior is used using electronic devices (intelligent phone, internet) resulting in harm and harm to someone who is intentional and the criminal is obtained on a material or moral return, which is often the objective of these crimes is the destruction or theft of information."
37,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",5,"Is illegal behavior using electronic means (phone, computer, internet) resulted in a personal information with an interview loss and result in the theft of information and piracy."
38,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3,Is a criminal behavior that is punishable by the law is used by computer electronic computers to another with a view to breach for the purpose of defamation.
39,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",4.75,"Each crime or violation is located on the net or by electronic devices, for theft or sabotage or replacement of information, which is in an interest or moral losses."
40,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",4.75,"It is illegal behavior in which technology and Internet is used to penetrate the systems and programs such as material or moral reasons such as theft and availability of information, the threat, e-espionage."
41,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",4.25,"Each illegal behavior is done through the Internet or electronic devices aimed at vandalism, extortion and assault is violated by values ​​and law such as: non-moral images, extortion and defamation, access to user data without their permission, data exploitation, physical and moral assault, Spread extreme ideas ..."
42,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",5,"Each illegal behavior is using electronic devices (telephone, computer, internet)."
43,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",5,"The illegal process is carried out by electronic devices (computer), an Internet phone (produces and is trained by the criminal obtaining materials or analyzes, and the victim shall bear losses in return."
44,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3.5,"Is an illegal action by electronic means (telephone, internet, computer) its goal took and propert the victim information and confidentiality and often pay the victim for this crime, its goal is to avoid and theft of information."
45,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",3.875,"Each crime is done by using modern means) phones, computer, internet (in the objective of physical or moral investigation to be implemented and are damaged by the victim and incurred material losses."
46,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",4.5,"Are illegal practices committed using electronic devices (computer, internet, telephone), where the criminal, physically or moral, in return, the victim's most prominent damage is for information piracy or destroying safety systems."
47,define the term electronic crime,"Each illegal behavior is done using electronic devices) phone, computer, internet (resulting from the criminal access to material or moral benefits with the victim load loss and often the goal of these crimes is piracy is to steal or destroy the information and usually be an online tool or scene to her",4.5,"Is illegal behavior by the criminal on the individual, organizations, intergovernmental organizations, any other for physical or moral interests, the victim suffered losses and is sabotaging, stealing and changing information."
48,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",4,"Are means, tools, policies and procedures used to ensure the privacy, integration and availability of information, prevent access or deletion without right"
49,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",3.25,"It is the technical and technical and administrative means required to protect the treatment of information) storage, transfer, processing ("
50,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",2.75,"It is the means and techniques used to strengthen security systems, so we protect information from theft, vandalism and switch"
51,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",3.75,"It is locked in the same facility and its staff, systems, equipment and media containing information at all stages of their presence and storage (transfer and processing)"
52,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",1.75,Is the protection of information from espionage and penetration by an electronic or physical unit to reduce electronic crime
53,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",2.75,"Is the protection and security of resources used in processing information during all stages of treatment (storage, transport and treatment)"
54,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",3.25,"Is locking and protecting all resources used in the processing of information at all stages of treatment, transport and treatment ("
55,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",4.5,"Is to secure all the media in processing information, where the facility believed itself, individuals working, and computers and all places of data during transport, storage, treatment."
56,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",1,Is protection for information from risk hacking and penetration
57,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",4,"Academically: Science, which is looking at the theories and strategies provide protection for information from threatening threats, technically: are the means, tools and procedures for the protection of information from internal and external hazards, legally: are the subject of studies to ensure secret and safety of information content."
58,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",4,Different means for treatment of information.
59,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",4,"Is the use of resources available for information and data, academically: is a science fighting hack, technically developing techniques and programs to combat hack, administrative terms: use of law and legislation."
60,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",3,"Technically: Science is looking for theories and strategies to provide protection for information from threats and prohibition of assault, legal aspect: The state is working on the availability of secret information protection system from internal and external attacks."
61,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",2.75,It is the method and methodological methods to ensure the safety of hardware and information while working as well as mechanisms for ensuring their security and security on individuals
62,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",4.25,"Academic: Science, which uses strategies and theories to protect information, technical: tools and means used to protect information from attacks, legal: Measures and obligations for the protection of information, in general protection of all resources used in the treatment of information and devices and data storage."
63,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",1.25,It is maintaining all resources used in processing information through all stages that make the information storage and treatment
64,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",4.75,"Is the protection and insurance of information from vandalism (theft, change), the information system where each facility is protected by the same protection and protecting employees and automated computers and protecting data stored in all circles and any means of sabotage at different stages of information (storage processing)."
65,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",4,"Academia: Science, looking at the information protection strategies, techniques and techniques and measures is necessary to ensure the protection of information, legally: is the measures to be taken to ensure confidentiality, safety and availability of information and to combat assault activities, in general is to protect all resources used in processing information in all Forms of information."
66,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",4.25,"Academically: It is aware of theories and strategies to ensure that information security is protected from risk and assault activities, technically: are all messages, tools and procedures that ensure the protection of information from foreign and internal risks, legally: actions and measures Which ensure the safety and confidentiality of information content and so on where they are threatening are to protect all resources used for information at all stages of their presence."
67,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",3.75,"Academically: The science, which is interested in methods and strategies to protect information, technically: are the tools and means used to protect the information, legally: are the procedures and measures necessary for the protection and security of information"
68,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",3.25,"Is to protect all information and stages provided by confidentiality, availability and integration: Academy: techniques and strategies, technical: tools, means and procedures, legal: studies and measures"
69,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",3.75,"The definition of academic is theories and methods that must be applied to protect the information system, a technical definition is the means and policies applied for the protection of the information system, legal definitions are the legislative texts of the protection of people and institutions from piracy"
70,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",3.25,"Academic is a science that taught strategies and theories to provide information security, technical is the tools, procedures and means to ensure information security, legal measures are crisis measures to ensure safety, confidentiality and inflow and combating information"
71,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",1.5,Are systems and means to ensure security and privacy of information and channels
72,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",3.5,Is protection for data systems so as not to be penetrated and is based on administrative and technical protection
73,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",4.75,"It is to secure and protect all the resources used in information systems so that the same establishment and persons working, computers and information containing data at different stages of transport and treatment"
74,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",5,"Is locking and protecting all resources used in the processing of information at all stages of treatment (storage, transport and treatment)"
75,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",2.75,Protection of attacks and prevention of attacks aimed at stealing this information where user identification is used to prove the user identification and responsibilities as well as non-denial and privacy in order to protect information
76,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",0.75,Are methods and methods used to defend user information or companies
77,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",3,"Is the protection of all resources used in the transfer, processing and storage of information and also information used with ensuring their availability and integration and confidentiality"
78,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",5,"Is to secure and protect all resources used in addressing information. Technically is the various technical tools and technical means as protection of information from dangers, legal is the various measures of legislation to ensure the secret security and safety of information provided and combating forms of crime"
79,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",4.25,"Is to secure and protect all resources used in processing information, where the establishment and the devices used and academically used are theories and strategies for the protection of information and technically are the tools and means and procedures for legal and legal procedures are measures and statements To ensure confidentiality and anti-assault"
80,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",4.25,"Academically is the science, which is seen in the theories and strategies to provide protection for information and technically are the means to provide them with legal protection of information. ("
81,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",4,"Academically is a science looking at the theories and studies to protect information from combustion, technically is the means and tools and procedures to provide information protection from internal and external dangers, in terms of studies and measures to provide safety and confidential information from the notification Threaten it"
82,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",2.25,It is the science that is theoretical and protection strategies for information from the threats they threaten
83,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",1.5,Is the strategy and software applications to maintain privacy) password (and not to infringe the laws
84,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",3.25,"Are a group of security measures taken from the tools and policies and other things to ensure the information in their storage, transfer and availability"
85,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",5,"It is Tamim and the protection of resources used in processing information must ensure itself and insert the devices used, media and information containing data in different stages of information (storage - transfer - treatment)"
86,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",3.5,"Academia is a science that finds strategies that allow for information systems, technically, the toolkit used to promote legal security defenses is to replace legislative studies to reduce electronic crime"
87,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",4.25,"Is the provision of protection, security and confidentiality of data and means that we are working on and maintained from each assault during each period) Transfer of amendment storage ("
88,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",3.75,Provide and ensure the protection of information from the internal and external risks threaten in addition to providing means and tools and measures to ensure confidentiality and peaceful information
89,define information security term,"Protection and insurance of all resources used to address information from the same facilities and individuals working, computers used and contain information containing data at all stages of information (storage - transport - treatment)",2.75,"Provide all means and tools to protect information and avoid damage to which it hindered, and its employees, their accounts and data"
